Classifier name;Number of features;Time to train;True positives;True negatives;False positives;False negatives;Accuracy;Precision;Recall;F1-Score
Logisticregression;100;0.011992454528808594;130;1828;83;1159;0.611875;0.6103286384976526;0.1008533747090768;0.17310252996005326
SGDClassifier;100;0.028296232223510742;138;1820;91;1151;0.611875;0.6026200873362445;0.10705973622963538;0.18181818181818182
LinearSVC;100;0.05298304557800293;140;1823;88;1149;0.6134375;0.6140350877192983;0.10861132660977502;0.1845748187211602
NuSVCClassifier;100;11.632067441940308;128;1796;115;1161;0.60125;0.5267489711934157;0.09930178432893716;0.16710182767624018
SVCClassifier;100;16.98912286758423;0;1911;0;1289;0.5971875;0.0;0.0;0.0
GaussianNB;100;0.03796553611755371;224;1730;181;1065;0.610625;0.5530864197530864;0.17377812257564004;0.2644628099173554
DecisionTreeClassifier;100;0.4507441520690918;163;1805;106;1126;0.615;0.6059479553903345;0.1264546159813809;0.2092426187419769
RandomForestClassifier;100;0.31905293464660645;172;1792;119;1117;0.61375;0.5910652920962199;0.13343677269200932;0.2177215189873418
AdaBoostClassifier;100;0.6093683242797852;134;1821;90;1155;0.6109375;0.5982142857142857;0.10395655546935609;0.17713152676801056
XGBClassifier;100;3.1764309406280518;87;1866;45;1202;0.6103125;0.6590909090909091;0.06749418153607448;0.12244897959183675
MLPClassifier;100;8.00698733329773;175;1805;106;1114;0.61875;0.6227758007117438;0.13576415826221877;0.22292993630573246
Logisticregression;100;0.0139923095703125;128;1856;74;1142;0.62;0.6336633663366337;0.10078740157480315;0.17391304347826086
SGDClassifier;100;0.03098297119140625;95;1889;41;1175;0.62;0.6985294117647058;0.07480314960629922;0.13513513513513514
LinearSVC;100;0.07194113731384277;140;1850;80;1130;0.621875;0.6363636363636364;0.11023622047244094;0.1879194630872483
NuSVCClassifier;100;11.765603303909302;144;1800;130;1126;0.6075;0.5255474452554745;0.11338582677165354;0.18652849740932642
SVCClassifier;100;17.642008781433105;0;1930;0;1270;0.603125;0.0;0.0;0.0
GaussianNB;100;0.03698277473449707;212;1758;172;1058;0.615625;0.5520833333333334;0.16692913385826771;0.25634824667472794
DecisionTreeClassifier;100;0.3927793502807617;159;1818;112;1111;0.6178125;0.5867158671586716;0.1251968503937008;0.2063595068137573
RandomForestClassifier;100;0.3910338878631592;159;1822;108;1111;0.6190625;0.5955056179775281;0.1251968503937008;0.20689655172413796
AdaBoostClassifier;100;0.627941370010376;131;1850;80;1139;0.6190625;0.6208530805687204;0.1031496062992126;0.17690749493585414
XGBClassifier;100;3.1962642669677734;74;1893;37;1196;0.6146875;0.6666666666666666;0.05826771653543307;0.10716871832005793
MLPClassifier;100;7.242950439453125;163;1823;107;1107;0.620625;0.6037037037037037;0.1283464566929134;0.21168831168831168
Logisticregression;100;0.012989282608032227;130;1867;81;1122;0.6240625;0.6161137440758294;0.10383386581469649;0.17771701982228297
SGDClassifier;100;0.028006553649902344;125;1865;83;1127;0.621875;0.6009615384615384;0.09984025559105432;0.17123287671232876
