Classifier name;Number of features;Time to train;True positives;True negatives;False positives;False negatives;Accuracy;Precision;Recall;F1-Score
Logisticregression;100;0.022998332977294922;675;1502;456;567;0.6803125;0.596816976127321;0.5434782608695652;0.5689001264222503
SGDClassifier;100;0.028980016708374023;1077;919;1039;165;0.62375;0.5089792060491494;0.8671497584541062;0.64145324597975
LinearSVC;100;0.05298757553100586;695;1498;460;547;0.6853125;0.6017316017316018;0.5595813204508857;0.5798915310805174
NuSVCClassifier;100;20.45325994491577;778;1101;857;464;0.5871875;0.4758409785932722;0.6264090177133655;0.5408411539798401
SVCClassifier;100;21.802542209625244;324;1789;169;918;0.6603125;0.6572008113590264;0.2608695652173913;0.37348703170028813
GaussianNB;100;0.036977291107177734;953;879;1079;289;0.5725;0.468996062992126;0.7673107890499195;0.5821624923640806
DecisionTreeClassifier;100;0.3280940055847168;973;1551;407;269;0.78875;0.7050724637681159;0.78341384863124;0.7421815408085431
RandomForestClassifier;100;0.3160743713378906;967;1580;378;275;0.7959375;0.7189591078066915;0.7785829307568438;0.74758407421724
AdaBoostClassifier;100;0.8159387111663818;605;1560;398;637;0.6765625;0.6031904287138584;0.48711755233494364;0.5389755011135857
XGBClassifier;100;3.3100922107696533;524;1675;283;718;0.6871875;0.6493184634448576;0.4219001610305958;0.511469009272816
MLPClassifier;100;18.208099126815796;1009;1478;480;233;0.7771875;0.6776359973136333;0.8123993558776168;0.7389234712559501
Logisticregression;100;0.024973392486572266;696;1453;468;583;0.6715625;0.5979381443298969;0.544175136825645;0.5697912402783463
SGDClassifier;100;0.027979612350463867;724;1435;486;555;0.6746875;0.5983471074380166;0.5660672400312744;0.5817597428686219
LinearSVC;100;0.05596661567687988;707;1450;471;572;0.6740625;0.6001697792869269;0.5527756059421423;0.5754985754985754
NuSVCClassifier;100;20.525252103805542;776;1150;771;503;0.601875;0.5016160310277957;0.6067240031274433;0.5491861288039631
SVCClassifier;100;22.73538637161255;311;1768;153;968;0.6496875;0.6702586206896551;0.24315871774824083;0.3568559954102123
GaussianNB;100;0.03598666191101074;953;820;1101;326;0.5540625;0.46397273612463485;0.745113369820172;0.5718571857185719
DecisionTreeClassifier;100;0.31284594535827637;1023;1419;502;256;0.763125;0.6708196721311476;0.7998436278342455;0.7296718972895863
RandomForestClassifier;100;0.3039247989654541;1013;1499;422;266;0.785;0.7059233449477352;0.7920250195465207;0.7464996315401621
AdaBoostClassifier;100;0.8176450729370117;620;1555;366;659;0.6796875;0.6288032454361054;0.4847537138389367;0.5474613686534217
XGBClassifier;100;3.353381872177124;534;1649;272;745;0.6821875;0.6625310173697271;0.4175136825645035;0.5122302158273382
MLPClassifier;100;19.720693826675415;1006;1448;473;273;0.766875;0.6801893171061528;0.7865519937451134;0.7295141406816533
Logisticregression;100;0.022986650466918945;684;1574;399;543;0.705625;0.631578947368421;0.5574572127139364;0.5922077922077923
SGDClassifier;100;0.027984142303466797;769;1448;525;458;0.6928125;0.5942812982998454;0.6267318663406682;0.6100753669178897
LinearSVC;100;0.049967050552368164;696;1564;409;531;0.70625;0.6298642533936651;0.5672371638141809;0.5969125214408233
NuSVCClassifier;100;21.07404851913452;754;1132;841;473;0.589375;0.4727272727272727;0.6145069274653626;0.5343727852586817
SVCClassifier;100;22.137946128845215;334;1855;118;893;0.6840625;0.7389380530973452;0.2722086389568052;0.3978558665872543
GaussianNB;100;0.03799080848693848;920;893;1080;307;0.5665625;0.46;0.7497962510187449;0.5701890300588782
DecisionTreeClassifier;100;0.33286333084106445;955;1528;445;272;0.7759375;0.6821428571428572;0.778321108394458;0.7270650932622763
RandomForestClassifier;100;0.3079078197479248;944;1624;349;283;0.8025;0.7300850734725445;0.7693561532192339;0.7492063492063492
AdaBoostClassifier;100;0.8062586784362793;683;1551;422;544;0.698125;0.6180995475113122;0.556642216788916;0.5857632933104632
XGBClassifier;100;3.3489272594451904;583;1703;270;644;0.714375;0.6834701055099648;0.4751426242868786;0.5605769230769231
MLPClassifier;100;18.560421228408813;993;1533;440;234;0.789375;0.6929518492672715;0.8092909535452323;0.7466165413533835
Logisticregression;100;0.022986173629760742;678;1526;460;536;0.68875;0.5957820738137083;0.5584843492586491;0.576530612244898
SGDClassifier;100;0.0279843807220459;395;1771;215;819;0.676875;0.6475409836065574;0.32537067545304776;0.4331140350877193
LinearSVC;100;0.05598115921020508;685;1526;460;529;0.6909375;0.5982532751091703;0.5642504118616145;0.5807545570156846
NuSVCClassifier;100;21.07796311378479;705;1134;852;509;0.5746875;0.4527938342967245;0.5807248764415156;0.5088415734391916
SVCClassifier;100;23.184195280075073;298;1838;148;916;0.6675;0.6681614349775785;0.24546952224052718;0.35903614457831323
GaussianNB;100;0.03697943687438965;921;896;1090;293;0.5678125;0.4579811039283938;0.7586490939044481;0.5711627906976744
DecisionTreeClassifier;100;0.3119213581085205;901;1581;405;313;0.775625;0.6898928024502297;0.7421746293245469;0.715079365079365
RandomForestClassifier;100;0.31882238388061523;916;1630;356;298;0.795625;0.720125786163522;0.7545304777594728;0.7369267900241351
AdaBoostClassifier;100;0.8135249614715576;690;1551;435;524;0.7003125;0.6133333333333333;0.5683690280065898;0.5899957246686618
XGBClassifier;100;3.34287166595459;549;1703;283;665;0.70375;0.6598557692307693;0.45222405271828664;0.5366568914956011
MLPClassifier;100;18.262345790863037;903;1552;434;311;0.7671875;0.675392670157068;0.7438220757825371;0.7079576636613093
Logisticregression;100;0.023986101150512695;704;1467;402;627;0.6784375;0.6365280289330922;0.5289256198347108;0.5777595404185475
SGDClassifier;100;0.02697920799255371;332;1740;129;999;0.6475;0.720173535791757;0.2494365138993238;0.37053571428571425
LinearSVC;100;0.055968523025512695;714;1456;413;617;0.678125;0.6335403726708074;0.5364387678437266;0.5809601301871441
NuSVCClassifier;100;19.75340986251831;801;1109;760;530;0.596875;0.5131326073030109;0.6018031555221638;0.553941908713693
SVCClassifier;100;21.668394327163696;335;1734;135;996;0.6465625;0.7127659574468085;0.2516904583020286;0.3720155469183787
GaussianNB;100;0.03603363037109375;998;815;1054;333;0.5665625;0.48635477582846004;0.7498121712997746;0.5900088678687556
DecisionTreeClassifier;100;0.3239319324493408;1008;1452;417;323;0.76875;0.7073684210526315;0.7573253193087904;0.7314949201741655
RandomForestClassifier;100;0.30300092697143555;1003;1525;344;328;0.79;0.7446176688938382;0.7535687453042825;0.7490664675130694
AdaBoostClassifier;100;0.787078857421875;706;1450;419;625;0.67375;0.6275555555555555;0.5304282494365139;0.5749185667752443
XGBClassifier;100;3.260793924331665;589;1612;257;742;0.6878125;0.6962174940898345;0.4425244177310293;0.5411116214974736
MLPClassifier;100;18.961881160736084;1022;1452;417;309;0.773125;0.7102154273801251;0.7678437265214124;0.7379061371841156
