Classifier name;Number of features;Time to train;True positives;True negatives;False positives;False negatives;Accuracy;Precision;Recall;F1-Score
Logisticregression;200;0.047322988510131836;661;1548;417;574;0.6903125;0.6131725417439703;0.5352226720647774;0.5715520968439256
SGDClassifier;200;0.04797792434692383;873;1289;676;362;0.675625;0.5635894125242091;0.7068825910931175;0.627155172413793
LinearSVC;200;0.10393929481506348;687;1525;440;548;0.69125;0.6095829636202307;0.5562753036437247;0.5817104149026248
NuSVCClassifier;200;34.96604943275452;690;1363;602;545;0.6415625;0.5340557275541795;0.5587044534412956;0.5461020973486347
SVCClassifier;200;37.345186710357666;223;1888;77;1012;0.6596875;0.7433333333333333;0.1805668016194332;0.29055374592833877
GaussianNB;200;0.06896543502807617;879;1197;768;356;0.64875;0.5336976320582878;0.7117408906882591;0.6099930603747397
DecisionTreeClassifier;200;0.8520627021789551;984;1516;449;251;0.78125;0.6866713189113748;0.7967611336032389;0.7376311844077961
RandomForestClassifier;200;0.4551408290863037;975;1550;415;260;0.7890625;0.7014388489208633;0.7894736842105263;0.7428571428571429
AdaBoostClassifier;200;1.7518606185913086;657;1548;417;578;0.6890625;0.611731843575419;0.5319838056680162;0.5690775227371155
XGBClassifier;200;6.440047740936279;570;1693;272;665;0.7071875;0.6769596199524941;0.46153846153846156;0.5488685604236881
MLPClassifier;200;22.719749212265015;973;1559;406;262;0.79125;0.7055837563451777;0.7878542510121458;0.7444529456771232
Logisticregression;200;0.03897881507873535;703;1516;421;560;0.6934375;0.6254448398576512;0.5566112430720507;0.5890238793464599
SGDClassifier;200;0.04198026657104492;480;1709;228;783;0.6840625;0.6779661016949152;0.38004750593824227;0.4870624048706241
LinearSVC;200;0.11893892288208008;718;1520;417;545;0.699375;0.6325991189427312;0.5684877276326208;0.5988323603002502
NuSVCClassifier;200;33.08610463142395;688;1401;536;575;0.6528125;0.5620915032679739;0.5447347585114806;0.5532770406111781
SVCClassifier;200;36.82857608795166;223;1846;91;1040;0.6465625;0.7101910828025477;0.17656373713380838;0.2828154724159797
GaussianNB;200;0.06996011734008789;903;1176;761;360;0.6496875;0.5426682692307693;0.7149643705463183;0.6170140075162283
DecisionTreeClassifier;200;0.8589873313903809;953;1530;407;310;0.7759375;0.700735294117647;0.7545526524148852;0.7266488753335875
RandomForestClassifier;200;0.4422318935394287;966;1556;381;297;0.788125;0.7171492204899778;0.7648456057007126;0.7402298850574713
AdaBoostClassifier;200;1.7429389953613281;618;1552;385;645;0.678125;0.6161515453639083;0.48931116389548696;0.5454545454545454
XGBClassifier;200;6.285051584243774;576;1616;321;687;0.685;0.6421404682274248;0.45605700712589076;0.5333333333333334
MLPClassifier;200;22.43782663345337;993;1501;436;270;0.779375;0.6948915325402379;0.7862232779097387;0.737741456166419
Logisticregression;200;0.03897809982299805;651;1542;422;585;0.6853125;0.6067101584342963;0.5266990291262136;0.5638804677349502
SGDClassifier;200;0.04197573661804199;593;1618;346;643;0.6909375;0.6315228966986155;0.4797734627831715;0.5452873563218391
LinearSVC;200;0.11594700813293457;673;1535;429;563;0.69;0.6107078039927405;0.5444983818770227;0.5757057313943541
NuSVCClassifier;200;32.392974615097046;769;1395;569;467;0.67625;0.5747384155455905;0.622168284789644;0.5975135975135974
SVCClassifier;200;36.33141756057739;193;1875;89;1043;0.64625;0.6843971631205674;0.15614886731391586;0.2542819499341239
GaussianNB;200;0.07107234001159668;894;1185;779;342;0.6496875;0.5343693962940825;0.7233009708737864;0.6146442076314885
DecisionTreeClassifier;200;0.8176693916320801;919;1543;421;317;0.769375;0.685820895522388;0.7435275080906149;0.7135093167701863
RandomForestClassifier;200;0.44174695014953613;912;1615;349;324;0.7896875;0.7232355273592387;0.7378640776699029;0.7304765718862636
AdaBoostClassifier;200;1.7110214233398438;628;1572;392;608;0.6875;0.615686274509804;0.5080906148867314;0.5567375886524822
XGBClassifier;200;6.45512843132019;546;1673;291;690;0.6934375;0.6523297491039427;0.441747572815534;0.5267727930535455
MLPClassifier;200;25.24652099609375;1001;1502;462;235;0.7821875;0.6842105263157895;0.8098705501618123;0.741756206002223
Logisticregression;200;0.04798531532287598;724;1473;461;542;0.6865625;0.6109704641350211;0.5718799368088467;0.5907792737658099
SGDClassifier;200;0.04997110366821289;858;1318;616;408;0.68;0.582089552238806;0.6777251184834123;0.6262773722627738
LinearSVC;200;0.12890887260437012;700;1511;423;566;0.6909375;0.6233303650934996;0.5529225908372828;0.5860192549183759
NuSVCClassifier;200;34.70377159118652;768;1394;540;498;0.675625;0.5871559633027523;0.6066350710900474;0.5967365967365967
SVCClassifier;200;37.90079879760742;236;1831;103;1030;0.6459375;0.696165191740413;0.18641390205371247;0.2940809968847352
GaussianNB;200;0.07095909118652344;922;1195;739;344;0.6615625;0.5550872968091511;0.7282780410742496;0.6299965835326273
DecisionTreeClassifier;200;0.8798742294311523;1021;1487;447;245;0.78375;0.6955040871934605;0.806477093206951;0.7468910021945866
RandomForestClassifier;200;0.45773839950561523;983;1573;361;283;0.79875;0.7313988095238095;0.7764612954186414;0.753256704980843
AdaBoostClassifier;200;1.8373475074768066;630;1554;380;636;0.6825;0.6237623762376238;0.4976303317535545;0.5536028119507908
XGBClassifier;200;6.476508140563965;556;1651;283;710;0.6896875;0.6626936829558999;0.4391785150078989;0.5282660332541568
MLPClassifier;200;25.11212992668152;1001;1544;390;265;0.7953125;0.719626168224299;0.7906793048973144;0.7534813699661271
Logisticregression;200;0.043975830078125;658;1520;387;635;0.680625;0.6296650717703349;0.5088940448569219;0.562874251497006
SGDClassifier;200;0.04199790954589844;552;1609;298;741;0.6753125;0.6494117647058824;0.42691415313225056;0.5151656556229585
LinearSVC;200;0.13094663619995117;672;1523;384;621;0.6859375;0.6363636363636364;0.5197215777262181;0.5721583652618136
NuSVCClassifier;200;33.68337297439575;682;1468;439;611;0.671875;0.6083853702051739;0.5274555297757154;0.5650372825186413
SVCClassifier;200;36.42895150184631;210;1830;77;1083;0.6375;0.7317073170731707;0.16241299303944315;0.26582278481012656
GaussianNB;200;0.07096505165100098;920;1157;750;373;0.6490625;0.5508982035928144;0.711523588553751;0.6209922375970299
DecisionTreeClassifier;200;0.8650226593017578;951;1519;388;342;0.771875;0.7102315160567588;0.7354988399071926;0.722644376899696
RandomForestClassifier;200;0.46735239028930664;963;1559;348;330;0.788125;0.7345537757437071;0.7447795823665894;0.7396313364055299
AdaBoostClassifier;200;1.8070809841156006;626;1555;352;667;0.6815625;0.6400817995910021;0.48414539829853054;0.551298987230295
XGBClassifier;200;6.449892520904541;528;1672;235;765;0.6875;0.6920052424639581;0.40835266821345706;0.5136186770428016
MLPClassifier;200;22.808724403381348;1021;1488;419;272;0.7840625;0.7090277777777778;0.7896365042536736;0.7471642883278449
