Classifier name;Number of features;Time to train;True positives;True negatives;False positives;False negatives;Accuracy;Precision;Recall;F1-Score
Logisticregression;10000;0.2908284664154053;738;1897;83;482;0.8234375;0.8989037758830695;0.6049180327868853;0.7231749142577168
SGDClassifier;10000;1.211301565170288;755;1906;74;465;0.8315625;0.9107358262967431;0.6188524590163934;0.7369448511469009
LinearSVC;10000;0.4437427520751953;902;1803;177;318;0.8453125;0.8359592215013901;0.739344262295082;0.784688995215311
GaussianNB;10000;3.261136770248413;788;1816;164;432;0.81375;0.8277310924369747;0.6459016393442623;0.7255985267034991
DecisionTreeClassifier;10000;1556.9471423625946;932;1767;213;288;0.8434375;0.8139737991266376;0.7639344262295082;0.7881606765327697
RandomForestClassifier;10000;99.97685742378235;910;1782;198;310;0.84125;0.8212996389891697;0.7459016393442623;0.781786941580756
MLPClassifier;10000;839.4295265674591;946;1763;217;274;0.8465625;0.8134135855546002;0.7754098360655738;0.7939571968107428
Logisticregression;10000;0.2728440761566162;742;1847;77;534;0.8090625;0.905982905982906;0.5815047021943573;0.7083532219570405
SGDClassifier;10000;1.1503431797027588;767;1864;60;509;0.8221875;0.9274486094316807;0.6010971786833855;0.7294341417023299
LinearSVC;10000;0.3847799301147461;909;1751;173;367;0.83125;0.8401109057301294;0.7123824451410659;0.7709923664122137
GaussianNB;10000;3.10522723197937;812;1765;159;464;0.8053125;0.8362512873326468;0.6363636363636364;0.7227414330218069
DecisionTreeClassifier;10000;1510.6426215171814;953;1686;238;323;0.8246875;0.8001679261125105;0.7468652037617555;0.7725982975273612
RandomForestClassifier;10000;98.19087934494019;926;1718;206;350;0.82625;0.8180212014134276;0.725705329153605;0.7691029900332226
MLPClassifier;10000;654.8856143951416;958;1693;231;318;0.8284375;0.8057190916736754;0.7507836990595611;0.7772819472616633
Logisticregression;10000;0.27584218978881836;769;1840;74;517;0.8153125;0.9122182680901542;0.5979782270606532;0.7224048849224988
SGDClassifier;10000;1.1543409824371338;821;1834;80;465;0.8296875;0.9112097669256382;0.6384136858475894;0.7508001828989483
LinearSVC;10000;0.3927760124206543;946;1758;156;340;0.845;0.8584392014519057;0.7356143079315708;0.7922948073701843
GaussianNB;10000;3.104208469390869;826;1774;140;460;0.8125;0.855072463768116;0.6423017107309487;0.7335701598579041
DecisionTreeClassifier;10000;1549.991133928299;980;1696;218;306;0.83625;0.8180300500834724;0.7620528771384136;0.789049919484702
RandomForestClassifier;10000;100.43560028076172;957;1724;190;329;0.8378125;0.8343504795117699;0.7441679626749611;0.7866831072749692
MLPClassifier;10000;788.6207537651062;989;1715;199;297;0.845;0.8324915824915825;0.7690513219284604;0.799514955537591
Logisticregression;10000;0.2738311290740967;739;1915;69;477;0.829375;0.9146039603960396;0.6077302631578947;0.7302371541501976
SGDClassifier;10000;1.15334153175354;803;1873;111;413;0.83625;0.8785557986870897;0.6603618421052632;0.7539906103286385
LinearSVC;10000;0.3907763957977295;895;1819;165;321;0.848125;0.8443396226415094;0.7360197368421053;0.7864674868189807
GaussianNB;10000;3.088216781616211;777;1826;158;439;0.8134375;0.8310160427807487;0.6389802631578947;0.7224546722454672
DecisionTreeClassifier;10000;1527.107194185257;936;1739;245;280;0.8359375;0.7925486875529213;0.7697368421052632;0.7809762202753441
RandomForestClassifier;10000;100.97528958320618;918;1771;213;298;0.8403125;0.8116710875331565;0.7549342105263158;0.782275244993609
MLPClassifier;10000;575.651515007019;947;1761;223;269;0.84625;0.8094017094017094;0.7787828947368421;0.7937971500419111
Logisticregression;10000;0.27184462547302246;786;1830;75;509;0.8175;0.9128919860627178;0.6069498069498069;0.7291280148423006
SGDClassifier;10000;1.1493613719940186;909;1759;146;386;0.83375;0.861611374407583;0.7019305019305019;0.7736170212765957
LinearSVC;10000;0.40376877784729004;970;1748;157;325;0.849375;0.8606921029281278;0.749034749034749;0.8009909165978529
GaussianNB;10000;3.133209705352783;827;1759;146;468;0.808125;0.8499486125385406;0.6386100386100386;0.7292768959435625
DecisionTreeClassifier;10000;1534.1031799316406;1007;1677;228;288;0.83875;0.8153846153846154;0.7776061776061776;0.7960474308300395
RandomForestClassifier;10000;101.33408284187317;983;1713;192;312;0.8425;0.8365957446808511;0.759073359073359;0.7959514170040486
MLPClassifier;10000;566.8731453418732;1011;1707;198;284;0.849375;0.8362282878411911;0.7806949806949807;0.8075079872204473
