Classifier name;Number of features;Time to train;True positives;True negatives;False positives;False negatives;Accuracy;Precision;Recall;F1-Score
Logisticregression;20000;0.6422421932220459;972;1782;148;298;0.860625;0.8678571428571429;0.7653543307086614;0.8133891213389122
SGDClassifier;20000;2.5053701400756836;1064;1699;231;206;0.8634375;0.8216216216216217;0.8377952755905512;0.8296296296296297
LinearSVC;20000;0.7498288154602051;1114;1749;181;156;0.8946875;0.8602316602316602;0.8771653543307086;0.8686159844054582
GaussianNB;20000;6.647671461105347;944;1687;243;326;0.8221875;0.7952822240943556;0.7433070866141732;0.7684167684167684
DecisionTreeClassifier;20000;125.65842080116272;1155;1527;403;115;0.838125;0.7413350449293966;0.9094488188976378;0.8168316831683168
RandomForestClassifier;20000;37.15298867225647;1057;1798;132;213;0.8921875;0.8889823380992431;0.8322834645669291;0.8596990646604311
MLPClassifier;20000;1521.4289405345917;1133;1721;209;137;0.891875;0.8442622950819673;0.8921259842519685;0.8675344563552834
Logisticregression;20000;0.6226482391357422;923;1837;128;312;0.8625;0.8782112274024738;0.7473684210526316;0.8075240594925635
SGDClassifier;20000;2.3756420612335205;962;1832;133;273;0.873125;0.8785388127853881;0.7789473684210526;0.8257510729613734
LinearSVC;20000;0.7245810031890869;1072;1788;177;163;0.89375;0.8582866293034428;0.8680161943319838;0.8631239935587763
GaussianNB;20000;6.704168081283569;919;1721;244;316;0.825;0.7901977644024075;0.7441295546558705;0.7664720600500416
DecisionTreeClassifier;20000;116.0225248336792;1131;1595;370;104;0.851875;0.7534976682211859;0.9157894736842105;0.8267543859649122
RandomForestClassifier;20000;34.76015067100525;1029;1854;111;206;0.9009375;0.9026315789473685;0.8331983805668016;0.8665263157894736
MLPClassifier;20000;1127.547066450119;1090;1746;219;145;0.88625;0.8326967150496563;0.8825910931174089;0.8569182389937107
Logisticregression;20000;0.6219525337219238;956;1803;115;326;0.8621875;0.892623716153128;0.7457098283931357;0.8125796855078623
SGDClassifier;20000;2.3790013790130615;952;1828;90;330;0.86875;0.9136276391554703;0.7425897035881436;0.8192771084337351
LinearSVC;20000;0.7911617755889893;1105;1745;173;177;0.890625;0.8646322378716745;0.8619344773790951;0.86328125
GaussianNB;20000;6.717027187347412;953;1701;217;329;0.829375;0.8145299145299145;0.7433697347893916;0.7773246329526917
DecisionTreeClassifier;20000;126.16872119903564;1155;1566;352;127;0.8503125;0.7664233576642335;0.9009360374414976;0.8282538544281104
RandomForestClassifier;20000;39.30831527709961;1053;1802;116;229;0.8921875;0.9007698887938409;0.8213728549141965;0.8592411260709915
MLPClassifier;20000;1255.743808746338;1112;1711;207;170;0.8821875;0.8430629264594389;0.8673946957878315;0.8550557477893117
Logisticregression;20000;0.7874960899353027;939;1809;113;339;0.85875;0.8925855513307985;0.7347417840375586;0.806008583690987
SGDClassifier;20000;2.510143280029297;1032;1736;186;246;0.865;0.8472906403940886;0.8075117370892019;0.826923076923077
LinearSVC;20000;0.9641189575195312;1097;1750;172;181;0.8896875;0.8644602048857368;0.8583724569640062;0.861405575186494
GaussianNB;20000;6.877143144607544;926;1703;219;352;0.8215625;0.8087336244541484;0.7245696400625978;0.7643417251341312
DecisionTreeClassifier;20000;113.90411019325256;1146;1540;382;132;0.839375;0.75;0.8967136150234741;0.8168210976478975
RandomForestClassifier;20000;35.63963007926941;1047;1823;99;231;0.896875;0.9136125654450262;0.8192488262910798;0.8638613861386139
MLPClassifier;20000;1325.1923277378082;1122;1682;240;156;0.87625;0.8237885462555066;0.8779342723004695;0.85
Logisticregression;20000;0.5446939468383789;954;1835;137;274;0.8715625;0.8744271310724107;0.7768729641693811;0.8227684346701164
SGDClassifier;20000;2.2037370204925537;1083;1634;338;145;0.8490625;0.7621393384940183;0.8819218241042345;0.8176670441676103
LinearSVC;20000;0.7195878028869629;1089;1797;175;139;0.901875;0.8615506329113924;0.8868078175895765;0.8739967897271267
GaussianNB;20000;6.468315601348877;923;1746;226;305;0.8340625;0.803307223672759;0.751628664495114;0.7766091712242322
DecisionTreeClassifier;20000;117.29296231269836;1135;1580;392;93;0.8484375;0.7432874918140144;0.9242671009771987;0.823956442831216
RandomForestClassifier;20000;32.63035011291504;1062;1813;159;166;0.8984375;0.8697788697788698;0.8648208469055375;0.8672927725602287
MLPClassifier;20000;1053.8998594284058;1098;1723;249;130;0.8815625;0.8151447661469933;0.8941368078175895;0.8528155339805824
