Classifier name;Number of features;Time to train;True positives;True negatives;False positives;False negatives;Accuracy;Precision;Recall;F1-Score
Logisticregression;10000;0.28981781005859375;735;1663;261;541;0.749375;0.7379518072289156;0.5760188087774295;0.6470070422535211
SGDClassifier;10000;1.254281759262085;922;1596;328;354;0.786875;0.7376;0.7225705329153606;0.7300079176563737
LinearSVC;10000;0.32180333137512207;1035;1635;289;241;0.834375;0.7817220543806647;0.8111285266457681;0.7961538461538463
GaussianNB;10000;3.1621973514556885;1186;813;1111;90;0.6246875;0.5163256421419242;0.9294670846394985;0.663867898124825
DecisionTreeClassifier;10000;68.2679648399353;1146;1531;393;130;0.8365625;0.7446393762183235;0.8981191222570533;0.8142095914742452
RandomForestClassifier;10000;18.643325805664062;1087;1718;206;189;0.8765625;0.8406805877803558;0.8518808777429467;0.8462436745815493
MLPClassifier;10000;1316.1128900051117;1133;1620;304;143;0.8603125;0.7884481558803061;0.8879310344827587;0.8352377441946185
Logisticregression;10000;0.28484153747558594;746;1671;259;524;0.7553125;0.7422885572139304;0.5874015748031496;0.6558241758241758
SGDClassifier;10000;1.2422912120819092;767;1704;226;503;0.7721875;0.7724068479355488;0.6039370078740157;0.6778612461334512
LinearSVC;10000;0.2968144416809082;1059;1652;278;211;0.8471875;0.7920718025430067;0.8338582677165355;0.8124280782508632
GaussianNB;10000;3.1461846828460693;1189;787;1143;81;0.6175;0.5098627787307033;0.9362204724409449;0.660188784008884
DecisionTreeClassifier;10000;72.61149907112122;1186;1545;385;84;0.8534375;0.75493316359007;0.9338582677165355;0.8349172826469553
RandomForestClassifier;10000;17.99071717262268;1105;1759;171;165;0.895;0.8659874608150471;0.8700787401574803;0.8680282796543598
MLPClassifier;10000;1036.55775141716;1156;1565;365;114;0.8503125;0.760026298487837;0.9102362204724409;0.8283769258330347
Logisticregression;10000;0.2848367691040039;737;1701;237;525;0.761875;0.7566735112936345;0.5839936608557845;0.6592128801431127
SGDClassifier;10000;1.2412912845611572;1043;1400;538;219;0.7634375;0.6597090449082859;0.8264659270998416;0.7337319732676749
LinearSVC;10000;0.3048434257507324;1031;1654;284;231;0.8390625;0.7840304182509505;0.8169572107765452;0.8001552192471867
GaussianNB;10000;3.156196355819702;1172;834;1104;90;0.626875;0.5149384885764499;0.9286846275752774;0.6625211984171848
DecisionTreeClassifier;10000;72.16275691986084;1159;1559;379;103;0.849375;0.7535760728218466;0.9183835182250396;0.8278571428571427
RandomForestClassifier;10000;16.816393852233887;1088;1727;211;174;0.8796875;0.8375673595073133;0.8621236133122029;0.8496680983990629
MLPClassifier;10000;1275.7276051044464;1133;1579;359;129;0.8475;0.7593833780160858;0.8977812995245642;0.822803195352215
Logisticregression;10000;0.2908167839050293;729;1679;263;529;0.7525;0.7348790322580645;0.5794912559618441;0.6479999999999999
SGDClassifier;10000;1.2272989749908447;910;1571;371;348;0.7753125;0.7103825136612022;0.7233704292527822;0.7168176447420245
LinearSVC;10000;0.30584239959716797;1021;1635;307;237;0.83;0.7688253012048193;0.8116057233704292;0.7896365042536737
GaussianNB;10000;3.164194107055664;1196;838;1104;62;0.635625;0.52;0.9507154213036566;0.6722878021360315
DecisionTreeClassifier;10000;73.83080267906189;1139;1549;393;119;0.84;0.7434725848563969;0.9054054054054054;0.8164874551971326
RandomForestClassifier;10000;16.760425329208374;1070;1737;205;188;0.8771875;0.8392156862745098;0.8505564387917329;0.8448480063166207
MLPClassifier;10000;1075.9372091293335;1118;1578;364;140;0.8425;0.7543859649122807;0.8887122416534181;0.8160583941605839
Logisticregression;10000;0.28583407402038574;737;1701;272;490;0.761875;0.7304261645193261;0.6006519967400163;0.6592128801431126
SGDClassifier;10000;1.2462880611419678;1080;1312;661;147;0.7475;0.6203331418724871;0.8801955990220048;0.7277628032345014
LinearSVC;10000;0.30582499504089355;1021;1646;327;206;0.8334375;0.7574183976261127;0.8321108394458028;0.793009708737864
GaussianNB;10000;3.157177209854126;1152;823;1150;75;0.6171875;0.5004344048653345;0.9388753056234719;0.6528761688863701
DecisionTreeClassifier;10000;72.18672347068787;1111;1575;398;116;0.839375;0.7362491716368456;0.9054604726976365;0.8121345029239766
RandomForestClassifier;10000;18.017703771591187;1049;1737;236;178;0.870625;0.8163424124513619;0.8549307253463733;0.8351910828025477
MLPClassifier;10000;1239.6567451953888;1109;1599;374;118;0.84625;0.7478084962913014;0.9038304808475958;0.818450184501845
