Classifier name;Number of features;Time to train;True positives;True negatives;False positives;False negatives;Accuracy;Precision;Recall;F1-Score
Logisticregression;10000;0.3028271198272705;931;1665;253;351;0.81125;0.7863175675675675;0.7262090483619345;0.7550689375506894
SGDClassifier;10000;1.098372459411621;1041;1534;384;241;0.8046875;0.7305263157894737;0.8120124804992199;0.76911710380495
LinearSVC;10000;0.438748836517334;1066;1619;299;216;0.8390625;0.780952380952381;0.8315132605304212;0.8054401208915752
GaussianNB;10000;3.133209705352783;751;1721;197;531;0.7725;0.7921940928270043;0.5858034321372855;0.673542600896861
DecisionTreeClassifier;10000;66.5529613494873;1149;1472;446;133;0.8190625;0.7203761755485893;0.8962558502340093;0.7987486965589156
RandomForestClassifier;10000;16.346640825271606;1095;1635;283;187;0.853125;0.7946298984034833;0.8541341653666147;0.8233082706766917
MLPClassifier;10000;785.0353353023529;1109;1580;338;173;0.8403125;0.7664132688320664;0.8650546021840874;0.812751923781605
Logisticregression;10000;0.3028271198272705;955;1709;242;294;0.8325;0.797827903091061;0.7646116893514812;0.7808667211774326
SGDClassifier;10000;1.1873223781585693;1032;1588;363;217;0.81875;0.7397849462365591;0.8262610088070457;0.7806354009077155
LinearSVC;10000;0.43175315856933594;1062;1637;314;187;0.8434375;0.7718023255813954;0.8502802241793435;0.809142857142857
GaussianNB;10000;3.1122207641601562;731;1777;174;518;0.78375;0.8077348066298342;0.5852682145716573;0.6787372330547818
DecisionTreeClassifier;10000;67.75427484512329;1127;1480;471;122;0.8146875;0.7052565707133918;0.9023218574859888;0.7917105725324903
RandomForestClassifier;10000;16.444583415985107;1081;1595;356;168;0.83625;0.7522616562282533;0.8654923939151321;0.8049143708116158
MLPClassifier;10000;770.6524600982666;1104;1592;359;145;0.8425;0.7546138072453862;0.8839071257005604;0.8141592920353983
Logisticregression;10000;0.2918374538421631;938;1738;208;316;0.83625;0.8184991273996509;0.748006379585327;0.7816666666666667
SGDClassifier;10000;1.1123600006103516;888;1769;177;366;0.8303125;0.8338028169014085;0.7081339712918661;0.7658473479948253
LinearSVC;10000;0.4407474994659424;1056;1685;261;198;0.8565625;0.8018223234624146;0.8421052631578947;0.8214702450408401
GaussianNB;10000;3.057236671447754;726;1761;185;528;0.7771875;0.7969264544456641;0.5789473684210527;0.6706697459584295
DecisionTreeClassifier;10000;67.12863421440125;1148;1524;422;106;0.835;0.7312101910828025;0.9154704944178629;0.8130311614730877
RandomForestClassifier;10000;17.536977529525757;1089;1661;285;165;0.859375;0.7925764192139738;0.868421052631579;0.8287671232876712
MLPClassifier;10000;849.8988287448883;1102;1605;341;152;0.8459375;0.7636867636867637;0.8787878787878788;0.8172043010752689
Logisticregression;10000;0.30182838439941406;998;1682;237;283;0.8375;0.8080971659919028;0.7790788446526151;0.7933227344992051
SGDClassifier;10000;1.0993716716766357;1007;1686;233;274;0.8415625;0.8120967741935484;0.7861046057767369;0.7988893296310987
LinearSVC;10000;0.44174766540527344;1125;1621;298;156;0.858125;0.7905832747716093;0.8782201405152225;0.8321005917159764
GaussianNB;10000;3.1062240600585938;790;1720;199;491;0.784375;0.7987866531850354;0.6167056986729118;0.6960352422907489
DecisionTreeClassifier;10000;69.81010031700134;1188;1461;458;93;0.8278125;0.7217496962332929;0.927400468384075;0.8117526477622139
RandomForestClassifier;10000;17.589946269989014;1152;1583;336;129;0.8546875;0.7741935483870968;0.8992974238875878;0.8320693391115926
MLPClassifier;10000;756.0112845897675;1170;1599;320;111;0.8653125;0.785234899328859;0.9133489461358314;0.844460483579935
Logisticregression;10000;0.3048264980316162;925;1731;242;302;0.83;0.792630676949443;0.7538712306438468;0.772765246449457
SGDClassifier;10000;1.110365390777588;944;1735;238;283;0.8371875;0.7986463620981388;0.7693561532192339;0.7837276878372769
LinearSVC;10000;0.43874478340148926;1047;1690;283;180;0.8553125;0.7872180451127819;0.8533007334963325;0.818928431755964
GaussianNB;10000;3.107224702835083;734;1785;188;493;0.7871875;0.7960954446854663;0.5982070089649552;0.6831084225221034
DecisionTreeClassifier;10000;65.49157094955444;1126;1510;463;101;0.82375;0.7086217747010699;0.9176854115729421;0.7997159090909092
RandomForestClassifier;10000;17.61694860458374;1100;1629;344;127;0.8528125;0.7617728531855956;0.8964955175224124;0.8236615499812806
MLPClassifier;10000;905.8702523708344;1089;1644;329;138;0.8540625;0.7679830747531735;0.8875305623471883;0.8234404536862003
