lambda;0
layers;(100,)
Classifier name;Number of features;Time to train;True positives;True negatives;False positives;False negatives;Accuracy;Precision;Recall;F1-Score
MLPClassifier;39527;124.29478931427002;1040;1867;85;208;0.9084375;0.9244444444444444;0.8333333333333334;0.8765276021913191
MLPClassifier;39527;122.02441930770874;1055;1848;62;235;0.9071875;0.9444941808415398;0.8178294573643411;0.8766098878271708
MLPClassifier;39527;181.20382404327393;1028;1828;100;244;0.8925;0.9113475177304965;0.8081761006289309;0.8566666666666667
MLPClassifier;39527;132.4878649711609;982;1898;77;243;0.9;0.927289896128423;0.8016326530612244;0.8598949211908932
MLPClassifier;39527;131.98407435417175;1047;1878;64;211;0.9140625;0.9423942394239424;0.8322734499205088;0.8839172646686365
lambda;0.0001
layers;(100,)
Classifier name;Number of features;Time to train;True positives;True negatives;False positives;False negatives;Accuracy;Precision;Recall;F1-Score
MLPClassifier;39527;141.34495878219604;1027;1829;70;274;0.8925;0.9361896080218779;0.7893927747886241;0.8565471226021684
MLPClassifier;39527;125.17409324645996;1008;1840;81;271;0.89;0.9256198347107438;0.7881157154026583;0.8513513513513513
MLPClassifier;39527;132.56665897369385;993;1920;92;195;0.9103125;0.9152073732718894;0.8358585858585859;0.8737351517817863
MLPClassifier;39527;141.26516938209534;1025;1858;77;240;0.9009375;0.9301270417422868;0.8102766798418972;0.866075200675961
MLPClassifier;39527;190.51401805877686;1040;1854;86;220;0.904375;0.9236234458259325;0.8253968253968254;0.8717518860016764
lambda;0.001
layers;(100,)
Classifier name;Number of features;Time to train;True positives;True negatives;False positives;False negatives;Accuracy;Precision;Recall;F1-Score
MLPClassifier;39527;157.3383071422577;1017;1879;88;216;0.905;0.9203619909502262;0.8248175182481752;0.8699743370402053
MLPClassifier;39527;181.7951319217682;1012;1883;92;213;0.9046875;0.9166666666666666;0.8261224489795919;0.8690425075139544
MLPClassifier;39527;124.81581854820251;1067;1831;83;219;0.905625;0.9278260869565217;0.8297045101088647;0.8760262725779967
MLPClassifier;39527;207.32765531539917;1069;1840;87;204;0.9090625;0.9247404844290658;0.8397486252945797;0.8801976121860848
MLPClassifier;39527;198.6426281929016;1042;1834;90;234;0.89875;0.9204946996466431;0.8166144200626959;0.8654485049833887
lambda;0.01
layers;(100,)
Classifier name;Number of features;Time to train;True positives;True negatives;False positives;False negatives;Accuracy;Precision;Recall;F1-Score
MLPClassifier;39527;222.76869297027588;1040;1839;79;242;0.8996875;0.9294012511170688;0.8112324492979719;0.8663057059558517
MLPClassifier;39527;157.951753616333;1027;1882;73;218;0.9090625;0.9336363636363636;0.8248995983935743;0.8759061833688699
MLPClassifier;39527;116.58662390708923;1025;1860;76;239;0.9015625;0.9309718437783833;0.8109177215189873;0.8668076109936576
MLPClassifier;39527;158.11627745628357;1066;1835;91;208;0.9065625;0.9213483146067416;0.8367346938775511;0.877005347593583
MLPClassifier;39527;149.72223448753357;1025;1876;96;203;0.9065625;0.9143621766280107;0.8346905537459284;0.8727117922520221
lambda;0.1
layers;(100,)
Classifier name;Number of features;Time to train;True positives;True negatives;False positives;False negatives;Accuracy;Precision;Recall;F1-Score
MLPClassifier;39527;149.34895610809326;1078;1822;90;210;0.90625;0.922945205479452;0.8369565217391305;0.8778501628664496
MLPClassifier;39527;132.58055233955383;1006;1896;82;216;0.906875;0.9246323529411765;0.823240589198036;0.870995670995671
MLPClassifier;39527;174.2014877796173;1000;1874;78;248;0.898125;0.9276437847866419;0.8012820512820513;0.8598452278589854
MLPClassifier;39527;165.0841989517212;1096;1834;83;187;0.915625;0.9296013570822731;0.8542478565861262;0.8903330625507716
MLPClassifier;39527;125.61490988731384;997;1874;74;255;0.8971875;0.930905695611578;0.7963258785942492;0.8583727938011193
lambda;1
layers;(100,)
Classifier name;Number of features;Time to train;True positives;True negatives;False positives;False negatives;Accuracy;Precision;Recall;F1-Score
MLPClassifier;39527;404.8480498790741;1027;1846;102;225;0.8978125;0.9096545615589017;0.8202875399361023;0.8626627467450652
MLPClassifier;39527;685.0564920902252;1015;1860;74;251;0.8984375;0.9320477502295684;0.80173775671406;0.861995753715499
MLPClassifier;39527;561.6805794239044;1001;1853;109;237;0.891875;0.9018018018018018;0.808562197092084;0.8526405451448041
MLPClassifier;39527;454.84242248535156;1040;1826;117;217;0.895625;0.898876404494382;0.8273667462211615;0.8616404308202155
MLPClassifier;39527;231.63044953346252;1030;1821;99;250;0.8909375;0.912311780336581;0.8046875;0.855126608551266
lambda;10
layers;(100,)
Classifier name;Number of features;Time to train;True positives;True negatives;False positives;False negatives;Accuracy;Precision;Recall;F1-Score
MLPClassifier;39527;76.28462481498718;0;1953;0;1247;0.6103125;0.0;0.0;0.0
MLPClassifier;39527;76.24565529823303;0;1962;0;1238;0.613125;0.0;0.0;0.0
MLPClassifier;39527;76.16550540924072;0;1930;0;1270;0.603125;0.0;0.0;0.0
MLPClassifier;39527;76.23479294776917;0;1939;0;1261;0.6059375;0.0;0.0;0.0
MLPClassifier;39527;76.20406603813171;0;1923;0;1277;0.6009375;0.0;0.0;0.0
lambda;0
layers;(10, 10)
Classifier name;Number of features;Time to train;True positives;True negatives;False positives;False negatives;Accuracy;Precision;Recall;F1-Score
MLPClassifier;39527;31.302276849746704;1030;1853;64;253;0.9009375;0.9414990859232175;0.8028059236165238;0.8666386201093815
MLPClassifier;39527;45.44458484649658;1052;1834;79;235;0.901875;0.9301503094606542;0.8174048174048174;0.8701406120760959
MLPClassifier;39527;41.32536220550537;1018;1897;97;188;0.9109375;0.9130044843049328;0.8441127694859039;0.8772080999569152
