Classifier name;Number of features;Time to train;True positives;True negatives;False positives;False negatives;Accuracy;Precision;Recall;F1-Score
Logisticregression;39527;1.1797316074371338;1073;1863;67;197;0.9175;0.9412280701754386;0.8448818897637795;0.8904564315352698
SGDClassifier;39527;4.034798622131348;1091;1829;101;179;0.9125;0.915268456375839;0.8590551181102363;0.8862713241267264
LinearSVC;39527;1.2063281536102295;1094;1839;91;176;0.9165625;0.9232067510548523;0.8614173228346457;0.8912423625254582
GaussianNB;39527;24.3580961227417;1031;1735;195;239;0.864375;0.8409461663947798;0.8118110236220473;0.8261217948717949
DecisionTreeClassifier;39527;248.53341913223267;1163;1595;335;107;0.861875;0.7763684913217623;0.915748031496063;0.8403179190751445
RandomForestClassifier;39527;63.754401445388794;1041;1823;107;229;0.895;0.9067944250871081;0.8196850393700787;0.8610421836228288
MLPClassifier;39527;1998.7001819610596;1099;1795;135;171;0.904375;0.8905996758508914;0.8653543307086614;0.8777955271565495
Logisticregression;39527;1.0513842105865479;1037;1914;67;182;0.9221875;0.9393115942028986;0.8506972928630024;0.892811020232458
SGDClassifier;39527;4.043708324432373;1038;1915;66;181;0.9228125;0.9402173913043478;0.8515176374077112;0.8936719758932414
LinearSVC;39527;1.269291877746582;1051;1883;98;168;0.916875;0.9147084421235857;0.8621821164889254;0.8876689189189189
GaussianNB;39527;87.18218922615051;976;1770;211;243;0.858125;0.8222409435551812;0.800656275635767;0.8113050706566917
DecisionTreeClassifier;39527;240.81334805488586;1093;1602;379;126;0.8421875;0.7425271739130435;0.896636587366694;0.8123374210330733
RandomForestClassifier;39527;64.99885320663452;998;1883;98;221;0.9003125;0.9105839416058394;0.8187038556193601;0.8622030237580994
MLPClassifier;39527;1711.6239285469055;1047;1857;124;172;0.9075;0.8941076003415884;0.8589007383100903;0.8761506276150628
Logisticregression;39527;1.0480918884277344;1062;1867;80;191;0.9153125;0.9299474605954466;0.8475658419792498;0.8868475991649271
SGDClassifier;39527;4.002730369567871;1081;1833;114;172;0.910625;0.9046025104602511;0.8627294493216281;0.8831699346405228
LinearSVC;39527;1.1843228340148926;1083;1850;97;170;0.9165625;0.9177966101694915;0.8643256185155627;0.8902589395807645
GaussianNB;39527;74.71395921707153;1010;1744;203;243;0.860625;0.832646331409728;0.8060654429369514;0.8191403081914032
DecisionTreeClassifier;39527;252.18087935447693;1138;1563;384;115;0.8440625;0.7477003942181341;0.9082202713487629;0.8201801801801802
RandomForestClassifier;39527;63.747331619262695;1001;1882;65;252;0.9009375;0.9390243902439024;0.7988826815642458;0.8633031479085813
MLPClassifier;39527;1822.2885003089905;1085;1827;120;168;0.91;0.9004149377593361;0.8659217877094972;0.8828315703824248
Logisticregression;39527;1.0483851432800293;1113;1846;86;155;0.9246875;0.9282735613010842;0.8777602523659306;0.9023104985812728
SGDClassifier;39527;4.034712314605713;1096;1878;54;172;0.929375;0.9530434782608695;0.8643533123028391;0.9065343258891645
LinearSVC;39527;1.235311508178711;1140;1835;97;128;0.9296875;0.9215844785772029;0.8990536277602523;0.9101796407185628
GaussianNB;39527;24.580951690673828;1021;1715;217;247;0.855;0.8247172859450727;0.805205047318612;0.8148443735035913
DecisionTreeClassifier;39527;259.11690402030945;1165;1592;340;103;0.8615625;0.7740863787375415;0.918769716088328;0.8402452217814641
RandomForestClassifier;39527;65.28167176246643;1071;1838;94;197;0.9090625;0.91931330472103;0.8446372239747634;0.8803945745992602
MLPClassifier;39527;1200.1339919567108;1135;1833;99;133;0.9275;0.919773095623987;0.8951104100946372;0.9072741806554755
Logisticregression;39527;1.059993028640747;1082;1861;56;201;0.9196875;0.9507908611599297;0.843335931410756;0.8938455183808343
SGDClassifier;39527;4.091865539550781;1115;1794;123;168;0.9090625;0.9006462035541195;0.8690568978955573;0.8845696152320507
LinearSVC;39527;1.2013142108917236;1101;1837;80;182;0.918125;0.9322607959356477;0.8581449727201871;0.8936688311688312
GaussianNB;39527;23.911332845687866;1010;1755;162;273;0.8640625;0.8617747440273038;0.7872174590802806;0.8228105906313646
DecisionTreeClassifier;39527;258.686176776886;1163;1557;360;120;0.85;0.7636244254760342;0.9064692127825409;0.8289379900213828
RandomForestClassifier;39527;68.30993914604187;1037;1841;76;246;0.899375;0.9317160826594789;0.8082618862042089;0.8656093489148582
MLPClassifier;39527;1424.8833379745483;1105;1804;113;178;0.9090625;0.9072249589490968;0.8612626656274357;0.8836465413834466
